input_category,output_category
"Fleet and Vehicle Maintenance|Air, Mechanic, and Hydraulic Floor Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Automotive Lifting Tool Accessories","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Automotive Loading Ramps","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Bottle Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Engine Stands","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Hydraulic Axle Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Hydraulic Crane Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Motorcycle Lifts and Plow Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Transmission Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Vehicle Stands","Automotive Lifting Tools"
"Paint, Equipment and Supplies|Auto Body Paints and Primers","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Auto Body Paints & Primers","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Automotive Touch Up Paints","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Automotive Topcoats","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Engine Enamels","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Parts Coatings","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Parts Coatings","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Rust Treatments & Undercoatings","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Rust Treatments and Undercoatings","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Truck Bed Coatings","Automotive Paints and Coatings"
"Lighting|Ballasts|Ballasts & Drivers|LED Drivers",Ballasts
"Lighting|Ballast Accessories",Ballasts
"Lighting|CFL Ballasts",Ballasts
"Lighting|Fluorescent Ballasts",Ballasts
"Lighting|Fluorescent Lamp Starters",Ballasts
"Lighting|HID Ballast Ignitors",Ballasts
"Lighting|HID Ballasts",Ballasts
"Lighting|HID Capacitors",Ballasts
"Lighting|LED Drivers",Ballasts
"Lighting|Sign Ballasts",Ballasts
"Electronics & Batteries|Batteries & Flashlights|Batteries|Lithium Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Nickel Metal Hydride Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Product Specific Battery Packs","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Rechargeable Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Standard Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Zinc Coal Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Battery Accessories|Battery Chargers","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Battery Accessories|Battery Holders & Mounts","Batteries & Battery Chargers"
"Electronics, Appliances, and Batteries|Battery Storage & Organizers","Batteries & Battery Chargers"
"Electronics, Appliances, and Batteries|Rechargeable Batteries & Chargers","Batteries & Battery Chargers"
"Plumbing|Plumbing Valves|Backflow Preventer Accessories","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backflow Preventer Repair Kits","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backflow Preventer Test Kits","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backflow Preventers","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backwater Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Check Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Flow Control Check Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Foot Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Sanitary Check Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Vacuum Breakers","Check Valves and Backflow Preventers"
"Welding|Gas Welding Equipment|Flashback Arrestors","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Flint Lighters","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Gas Welder Fittings","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Gas Welding Outfits","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Quick Connect Cutting Torch Couplings","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Welding Tip Mixers","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torch Attachments","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torch Handles","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torch Tips and Nozzles","Cutting Torches and Accessories"
"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torches","Cutting Torches and Accessories"
"Hardware|Door Hardware|Door Accessories|Door Cover Plates","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Edge Guards","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Finger Guards","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Guards","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Kick Plates","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Knob Protectors","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Knob Wall Guards","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Latch Guards","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Push and Pull Plates","Door Plates and Guards"
"Hardware|Door Hardware|Door Accessories|Door Strike Plates","Door Plates and Guards"
"HVAC and Refrigeration|Heaters|Band Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Cartridge Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Enclosure Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Finned Strip Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Finned Tubular Air Duct Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Flexible Strip Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Immersion Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Insulated Channel Strip Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Radiant Process Heaters","Electric Process Heaters and Accessories"
"HVAC and Refrigeration|Heaters|Strip Heaters","Electric Process Heaters and Accessories"
"Safety & Security|Clothing & Accessories|Drapes  Gowns & Sheets","Emergency and Exam Room Supplies"
"Safety|Arm Slings","Emergency and Exam Room Supplies"
"Safety|First Aid Tweezers and Forceps","Emergency and Exam Room Supplies"
"Safety|Medical Basins","Emergency and Exam Room Supplies"
"Safety|Medical Equipment Bags and Cases","Emergency and Exam Room Supplies"
"Safety|Medical Scissors and Shears","Emergency and Exam Room Supplies"
"Safety|Medical Supplies Containers","Emergency and Exam Room Supplies"
