input_category,output_category
"HVAC & Refrigeration|HVAC Chemicals|Heat Sink Compounds","Air Conditioners and Accessories"
"HVAC and Refrigeration|Air Conditioning Chemicals, Tools and Accessories","Air Conditioners and Accessories"
"HVAC and Refrigeration|Ceiling Mounted Air Conditioners","Air Conditioners and Accessories"
"HVAC and Refrigeration|Hazardous Location Air Conditioners","Air Conditioners and Accessories"
"HVAC and Refrigeration|Vertical Packaged A/C & Heat Pumps","Air Conditioners and Accessories"
"Test Instruments|Air Flow Capture Hoods","Air Movement"
"Test Instruments|Air Velocity Indicators","Air Movement"
"Test Instruments|Air Velocity Meters and Anemometers","Air Movement"
"Test Instruments|Air Velocity Monitor Accessories","Air Movement"
"Test Instruments|Air Velocity Transmitters","Air Movement"
"Fleet and Vehicle Maintenance|Electronic Siren System Accessories","Automotive Alarms and Horns"
"Fleet and Vehicle Maintenance|Electronic Siren Systems","Automotive Alarms and Horns"
"Fleet and Vehicle Maintenance|Horn Accessories","Automotive Alarms and Horns"
"Fleet and Vehicle Maintenance|Horns","Automotive Alarms and Horns"
"Fleet and Vehicle Maintenance|Vehicle Back Up Alarms","Automotive Alarms and Horns"
"Tools|Saws and Accessories|Band Saw Accessories","Band Saws and Accessories"
"Tools|Saws and Accessories|Corded Band Saws","Band Saws and Accessories"
"Tools|Saws and Accessories|Cordless Band Saws","Band Saws and Accessories"
"Tools|Saws and Accessories|Portable Band Saw Accessories","Band Saws and Accessories"
"Tools|Saws and Accessories|Portable Band Saws","Band Saws and Accessories"
"Janitorial & Facility|Restroom Equipment|Restroom Dispenser Accessories","Bathroom Equipment"
"Cleaning and Janitorial|Cleaning Supplies|Toilet Plungers","Bathroom Equipment"
"Cleaning and Janitorial|Cleaning Supplies|Toilet and Urinal Mats","Bathroom Equipment"
"Cleaning and Janitorial|Cleaning Supplies|Toilet and Urinal Rim Hangers","Bathroom Equipment"
"Cleaning and Janitorial|Cleaning Supplies|Urinal Cakes and Screens","Bathroom Equipment"
"Lighting|Lighting Fixtures|Bay Fixture Accessories","Bay Fixtures"
"Lighting|Lighting Fixtures|Bay Fixture Ballast Housings","Bay Fixtures"
"Lighting|Lighting Fixtures|Bay Fixture Reflectors","Bay Fixtures"
"Lighting|Lighting Fixtures|High Bay Fixtures","Bay Fixtures"
"Lighting|Lighting Fixtures|Low Bay Fixtures","Bay Fixtures"
"Material Handling|Shelving and Storage Racks|Bin Cabinets","Bin Organizers"
"Material Handling|Shelving and Storage Racks|Bin Rail Systems","Bin Organizers"
"Material Handling|Shelving and Storage Racks|Cube Storage Units","Bin Organizers"
"Material Handling|Shelving and Storage Racks|Pigeonhole Bin Units","Bin Organizers"
"Material Handling|Shelving and Storage Racks|Sectional Stacking Bins","Bin Organizers"
"Office Supplies|3-Ring Binder Accessories","Binders and Clipboards"
"Office Supplies|3-Ring Binders","Binders and Clipboards"
"Office Supplies|Clipboard Accessories","Binders and Clipboards"
"Office Supplies|Clipboards","Binders and Clipboards"
"Office Supplies|Index Tabs","Binders and Clipboards"
"Machining|Drilling and Holemaking|Keyway Broach Bushings",Broaches
"Machining|Drilling and Holemaking|Keyway Broach Sets",Broaches
"Machining|Drilling and Holemaking|Keyway Broach Shims",Broaches
"Machining|Drilling and Holemaking|Keyway Broaches",Broaches
"Machining|Drilling and Holemaking|Rotary Broaches",Broaches
"Office Supplies|Boards and Easels|Bulletin Board Display Rails","Bulletin Boards and Accessories"
"Office Supplies|Boards and Easels|Bulletin Board and Easel Accessories","Bulletin Boards and Accessories"
"Office Supplies|Boards and Easels|Bulletin Boards","Bulletin Boards and Accessories"
"Office Supplies|Boards and Easels|Combination Bulletin and Dry Erase Boards","Bulletin Boards and Accessories"
"Office Supplies|Boards and Easels|Enclosed Bulletin Boards","Bulletin Boards and Accessories"
"Office Supplies|Calendar Accessories","Calendars and Planners"
"Office Supplies|Calendars","Calendars and Planners"
"Office Supplies|Organizer Refills","Calendars and Planners"
"Office Supplies|Organizers","Calendars and Planners"
"Office Supplies|Planners","Calendars and Planners"
"Security|Specialty Locks|Cam Locks","Cam Locks and Cylinder Locks"
"Security|Specialty Locks|Drawer and Cabinet Lock Cylinders","Cam Locks and Cylinder Locks"
"Security|Specialty Locks|Drawer and Cabinet Locks","Cam Locks and Cylinder Locks"
"Security|Specialty Locks|File Cabinet Locks","Cam Locks and Cylinder Locks"
"Security|Specialty Locks|Gang Locks","Cam Locks and Cylinder Locks"
"Pumps|Chemical Metering Pump Accessories","Chemical Pumps"
"Pumps|Chemical Metering Pump Repair Parts","Chemical Pumps"
"Pumps|Chemical Metering Pump Systems","Chemical Pumps"
"Pumps|Chemical Metering Pumps","Chemical Pumps"
"Pumps|Chemical Transfer Magnetic Drive Pumps","Chemical Pumps"
"Janitorial & Facility|Facility Dispensers|Facility Dispenser Accessories","Cleaning Chemical Dispensers"
"Janitorial & Facility|Janitorial Carts & Supply Holders|Spray Bottles & Trigger Sprays","Cleaning Chemical Dispensers"
"Cleaning and Janitorial|Cleaning Supplies|Chemical Dispensing Accessories","Cleaning Chemical Dispensers"
"Cleaning and Janitorial|Cleaning Supplies|Dispensing Containers","Cleaning Chemical Dispensers"
"Cleaning and Janitorial|Cleaning Supplies|Spray Bottles and Trigger Sprays","Cleaning Chemical Dispensers"
"Chemicals|Floor  Surface & Upholstery Chemicals|Grout","Concrete and Asphalt"
"Adhesives, Sealants and Tape|Concrete Mix","Concrete and Asphalt"
"Adhesives, Sealants and Tape|Concrete and Asphalt Cleaners and Sealers","Concrete and Asphalt"
"Adhesives, Sealants and Tape|Concrete and Asphalt Repair - Patches and Compounds","Concrete and Asphalt"
"Adhesives, Sealants and Tape|Mortar","Concrete and Asphalt"
"Material Handling|Magnetic Separators","Conveyors and Components"
"Material Handling|Material Support and Transfer Stands","Conveyors and Components"
"Material Handling|Overhead Conveyor Components","Conveyors and Components"
"Material Handling|Vacuum Conveyors","Conveyors and Components"
"Material Handling|Vibratory Feeders","Conveyors and Components"
"HVAC and Refrigeration|Vehicle Bolt-On DC Fans","Cooling Fans"
"Commercial & Industrial|Fans, Ventilation & Controls|Basket Fans","Cooling Fans"
"Commercial & Industrial|Fans, Ventilation & Controls|Ceiling Fans","Cooling Fans"
"Commercial & Industrial|Fans, Ventilation & Controls|Misting Fans","Cooling Fans"
"HVAC & Refrigeration|Indoor Air Quality|Cooling Fans|Ceiling Fans","Cooling Fans"
"Tools|Cordless Jobsite Fans","Cordless Tool Batteries, Lights, and Accessories"
"Tools|Cordless Tool Accessories","Cordless Tool Batteries, Lights, and Accessories"
"Tools|Cordless Tool Batteries","Cordless Tool Batteries, Lights, and Accessories"
"Tools|Cordless Tool Battery Chargers","Cordless Tool Batteries, Lights, and Accessories"
"Tools|Jobsite Radios","Cordless Tool Batteries, Lights, and Accessories"
"Abrasives|Bonded Abrasives|Depressed Center Wheels","Cup Grinding Wheels"
"Abrasives|Diamond & Super Abrasives|Cup Wheels","Cup Grinding Wheels"
"Abrasives|Cut-Off and Grinding Wheels|Dish Grinding Wheels","Cup Grinding Wheels"
"Abrasives|Cut-Off and Grinding Wheels|Flaring Cup Grinding Wheels","Cup Grinding Wheels"
"Abrasives|Cut-Off and Grinding Wheels|Straight Cup Grinding Wheels","Cup Grinding Wheels"
"Abrasives|Abrasive Accessories|Hole Deburring Tools","Deburring Tools"
Abrasives|Burrs,"Deburring Tools"
"Metalworking|Grinders, Beveling & Deburring Machines|Deburring Machines","Deburring Tools"
"Abrasives|Deburring Blades","Deburring Tools"
"Abrasives|Machine Deburring Tools","Deburring Tools"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Food Service Disposables and Dispensers|Cup and Lid Dispensers","Disposables Dispensers"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Food Service Disposables and Dispensers|Cutlery Dispensers and Bins","Disposables Dispensers"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Food Service Disposables and Dispensers|Food Service Dispensers","Disposables Dispensers"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Food Service Disposables and Dispensers|Food Wrap and Food Label Dispensers","Disposables Dispensers"
"Furniture, Hospitality and Food Service|Food Service and Food Processing|Food Service Disposables and Dispensers|Napkin Dispensers","Disposables Dispensers"
"Tools|Measuring and Layout Tools|Distance Meters","Distance Measuring Tools"
"Tools|Measuring and Layout Tools|Measuring Wheel Accessories","Distance Measuring Tools"
"Tools|Measuring and Layout Tools|Measuring Wheels","Distance Measuring Tools"
"Tools|Measuring and Layout Tools|Rules and Straight Edges","Distance Measuring Tools"
"Tools|Measuring and Layout Tools|Tape Measures","Distance Measuring Tools"
"Hardware|Door Hardware|Door Locks and Deadbolts|Chain Door Guards","Door Latches, Guards, and Bolts"
"Hardware|Door Hardware|Door Locks and Deadbolts|Deadlatch Hardware","Door Latches, Guards, and Bolts"
"Hardware|Door Hardware|Door Locks and Deadbolts|Door Bolts","Door Latches, Guards, and Bolts"
"Hardware|Door Hardware|Door Locks and Deadbolts|Hotel Door Latches","Door Latches, Guards, and Bolts"
"Hardware|Door Hardware|Door Locks and Deadbolts|Lockset Latches","Door Latches, Guards, and Bolts"
"Hardware|Door Hardware|Door Locks and Deadbolts|Door Lockset Prep Tools","Door Lock Hardware and Accessories"
"Hardware|Door Hardware|Door Locks and Deadbolts|Glass Door Hardware","Door Lock Hardware and Accessories"
"Hardware|Door Hardware|Door Locks and Deadbolts|Intruder Defense Systems","Door Lock Hardware and Accessories"
"Hardware|Door Hardware|Door Locks and Deadbolts|Mortise Lock Cases","Door Lock Hardware and Accessories"
"Hardware|Door Hardware|Door Locks and Deadbolts|Rim Locks and Auxiliary Locks","Door Lock Hardware and Accessories"
"Tools|Coring Rigs","Drills and Drivers"
"Tools|Hammer Drills","Drills and Drivers"
"Tools|Impact Drivers and Kits","Drills and Drivers"
"Tools|Right Angle Drills","Drills and Drivers"
"Tools|Standard Drills and Drivers","Drills and Drivers"
"Office Supplies|Boards and Easels|Combination Bulletin and Dry Erase Boards","Dry Erase Boards and Accessories"
"Office Supplies|Boards and Easels|Dry Erase Board Accessories","Dry Erase Boards and Accessories"
"Office Supplies|Boards and Easels|Dry Erase Boards","Dry Erase Boards and Accessories"
"Office Supplies|Boards and Easels|Dry Erase Calendar and Planning Boards","Dry Erase Boards and Accessories"
"Office Supplies|Boards and Easels|In/Out Boards","Dry Erase Boards and Accessories"
"Lighting|Emergency Lighting and Accessories|Emergency Lighting Batteries","Emergency Lighting Accessories"
"Lighting|Emergency Lighting and Accessories|Emergency Lighting Relay Controls","Emergency Lighting Accessories"
"Lighting|Emergency Lighting and Accessories|Emergency Lighting Standby Power Systems","Emergency Lighting Accessories"
"Lighting|Emergency Lighting and Accessories|Emergency Lighting and Exit Sign Accessories","Emergency Lighting Accessories"
"Lighting|Emergency Lighting and Accessories|Lighting Battery Backup Systems and Retrofit Kits","Emergency Lighting Accessories"
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Electrical Enclosures",Enclosures
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Hazardous Location Electrical Enclosures",Enclosures
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Splitter Electrical Enclosures",Enclosures
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Underground Electrical Enclosure Covers",Enclosures
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Underground Electrical Enclosures",Enclosures
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Electrical Enclosure Accessories","Enclosures Accessories"
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Electrical Enclosure Cable and Pipe Seals","Enclosures Accessories"
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Electrical Enclosure Hole Seals","Enclosures Accessories"
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Electrical Enclosure Window and Louver Kits","Enclosures Accessories"
"Electrical|Wire, Cable, and Carrier Systems|Enclosures and Accessories|Enclosure Window and Louver Kit Accessories","Enclosures Accessories"
"HVAC & Refrigeration|HVAC Equipment|Evaporative Coolers|Portable Evaporative Coolers","Evaporative Coolers and Accessories"
"HVAC & Refrigeration|HVAC Supplies & Accessories|Evaporative Cooler Accessories|Evaporative Cooler Pads","Evaporative Coolers and Accessories"
"HVAC and Refrigeration|Air Conditioners and Accessories|Evaporative Cooler Accessories","Evaporative Coolers and Accessories"
"HVAC and Refrigeration|Air Conditioners and Accessories|Evaporative Cooler Pads","Evaporative Coolers and Accessories"
"HVAC and Refrigeration|Air Conditioners and Accessories|Evaporative Coolers","Evaporative Coolers and Accessories"
"Paint, Equipment and Supplies|Exterior Paints","Exterior Paints and Stains"
"Janitorial & Facility|Paints  Equipment & Supplies|Paints & Stains|Paint Powder Coatings","Exterior Paints and Stains"
"Paint, Equipment and Supplies|Exterior Wood Stains and Sealers","Exterior Paints and Stains"
"Janitorial & Facility|Paints  Equipment & Supplies|Paints & Stains|Paints","Exterior Paints and Stains"
"Janitorial & Facility|Paints  Equipment & Supplies|Paints & Stains|Primers","Exterior Paints and Stains"
"Commercial & Industrial|Fans, Ventilation & Controls|Fan Controls","Fan Controls"
"Commercial & Industrial|Fans, Ventilation & Controls|Thermostats & Timers","Fan Controls"
"HVAC & Refrigeration|HVAC Controls|Electrical Controls|Fan Speed Controls","Fan Controls"
"HVAC and Refrigeration|HVAC Controls and Thermostats|Fan Control Switches","Fan Controls"
"HVAC and Refrigeration|HVAC Controls and Thermostats|Fan Speed Control","Fan Controls"
"Office Supplies|Expandable File Folders","File Folders and Boxes"
"Office Supplies|File Boxes","File Folders and Boxes"
"Office Supplies|File Folders","File Folders and Boxes"
"Office Supplies|File Jackets, Organizers, and Portfolios","File Folders and Boxes"
