,input_category,output_category,cleaned
0,"Fleet and Vehicle Maintenance|Air, Mechanic, and Hydraulic Floor Jacks",Automotive Lifting Tools,fleet vehicl mainten air mechan hydraul floor jack
1,Fleet and Vehicle Maintenance|Automotive Lifting Tool Accessories,Automotive Lifting Tools,fleet vehicl mainten automot lift tool accessori
2,Fleet and Vehicle Maintenance|Automotive Loading Ramps,Automotive Lifting Tools,fleet vehicl mainten automot load ramp
3,Fleet and Vehicle Maintenance|Bottle Jacks,Automotive Lifting Tools,fleet vehicl mainten bottl jack
4,Fleet and Vehicle Maintenance|Engine Stands,Automotive Lifting Tools,fleet vehicl mainten engin stand
5,Fleet and Vehicle Maintenance|Hydraulic Axle Jacks,Automotive Lifting Tools,fleet vehicl mainten hydraul axl jack
6,Fleet and Vehicle Maintenance|Hydraulic Crane Jacks,Automotive Lifting Tools,fleet vehicl mainten hydraul crane jack
7,Fleet and Vehicle Maintenance|Motorcycle Lifts and Plow Jacks,Automotive Lifting Tools,fleet vehicl mainten motorcycl lift plow jack
8,Fleet and Vehicle Maintenance|Transmission Jacks,Automotive Lifting Tools,fleet vehicl mainten transmiss jack
9,Fleet and Vehicle Maintenance|Vehicle Stands,Automotive Lifting Tools,fleet vehicl mainten vehicl stand
10,"Paint, Equipment and Supplies|Auto Body Paints and Primers",Automotive Paints and Coatings,paint equip suppli auto bodi paint primer
11,Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Auto Body Paints & Primers,Automotive Paints and Coatings,janitori facil paint equip suppli automot paint coat auto bodi paint primer
12,"Paint, Equipment and Supplies|Automotive Touch Up Paints",Automotive Paints and Coatings,paint equip suppli automot touch up paint
13,Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Automotive Topcoats,Automotive Paints and Coatings,janitori facil paint equip suppli automot paint coat automot topcoat
14,"Paint, Equipment and Supplies|Engine Enamels",Automotive Paints and Coatings,paint equip suppli engin enamel
15,Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Parts Coatings,Automotive Paints and Coatings,janitori facil paint equip suppli automot paint coat part coat
16,"Paint, Equipment and Supplies|Parts Coatings",Automotive Paints and Coatings,paint equip suppli part coat
17,Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Rust Treatments & Undercoatings,Automotive Paints and Coatings,janitori facil paint equip suppli automot paint coat rust treatment underco
18,"Paint, Equipment and Supplies|Rust Treatments and Undercoatings",Automotive Paints and Coatings,paint equip suppli rust treatment underco
19,"Paint, Equipment and Supplies|Truck Bed Coatings",Automotive Paints and Coatings,paint equip suppli truck bed coat
20,Lighting|Ballasts|Ballasts & Drivers|LED Drivers,Ballasts,light ballast ballast driver led driver
21,Lighting|Ballast Accessories,Ballasts,light ballast accessori
22,Lighting|CFL Ballasts,Ballasts,light cfl ballast
23,Lighting|Fluorescent Ballasts,Ballasts,light fluoresc ballast
24,Lighting|Fluorescent Lamp Starters,Ballasts,light fluoresc lamp starter
25,Lighting|HID Ballast Ignitors,Ballasts,light hid ballast ignitor
26,Lighting|HID Ballasts,Ballasts,light hid ballast
27,Lighting|HID Capacitors,Ballasts,light hid capacitor
28,Lighting|LED Drivers,Ballasts,light led driver
29,Lighting|Sign Ballasts,Ballasts,light sign ballast
30,Electronics & Batteries|Batteries & Flashlights|Batteries|Lithium Batteries,Batteries & Battery Chargers,electron batteri batteri flashlight batteri lithium batteri
31,Electronics & Batteries|Batteries & Flashlights|Batteries|Nickel Metal Hydride Batteries,Batteries & Battery Chargers,electron batteri batteri flashlight batteri nickel metal hydrid batteri
32,Electronics & Batteries|Batteries & Flashlights|Batteries|Product Specific Battery Packs,Batteries & Battery Chargers,electron batteri batteri flashlight batteri product specif batteri pack
33,Electronics & Batteries|Batteries & Flashlights|Batteries|Rechargeable Batteries,Batteries & Battery Chargers,electron batteri batteri flashlight batteri recharg batteri
34,Electronics & Batteries|Batteries & Flashlights|Batteries|Standard Batteries,Batteries & Battery Chargers,electron batteri batteri flashlight batteri standard batteri
35,Electronics & Batteries|Batteries & Flashlights|Batteries|Zinc Coal Batteries,Batteries & Battery Chargers,electron batteri batteri flashlight batteri zinc coal batteri
36,Electronics & Batteries|Batteries & Flashlights|Battery Accessories|Battery Chargers,Batteries & Battery Chargers,electron batteri batteri flashlight batteri accessori batteri charger
37,Electronics & Batteries|Batteries & Flashlights|Battery Accessories|Battery Holders & Mounts,Batteries & Battery Chargers,electron batteri batteri flashlight batteri accessori batteri holder mount
38,"Electronics, Appliances, and Batteries|Battery Storage & Organizers",Batteries & Battery Chargers,electron applianc batteri batteri storag organ
39,"Electronics, Appliances, and Batteries|Rechargeable Batteries & Chargers",Batteries & Battery Chargers,electron applianc batteri recharg batteri charger
40,Plumbing|Plumbing Valves|Backflow Preventer Accessories,Check Valves and Backflow Preventers,plumb plumb valv backflow prevent accessori
41,Plumbing|Plumbing Valves|Backflow Preventer Repair Kits,Check Valves and Backflow Preventers,plumb plumb valv backflow prevent repair kit
42,Plumbing|Plumbing Valves|Backflow Preventer Test Kits,Check Valves and Backflow Preventers,plumb plumb valv backflow prevent test kit
43,Plumbing|Plumbing Valves|Backflow Preventers,Check Valves and Backflow Preventers,plumb plumb valv backflow prevent
44,Plumbing|Plumbing Valves|Backwater Valves,Check Valves and Backflow Preventers,plumb plumb valv backwat valv
45,Plumbing|Plumbing Valves|Check Valves,Check Valves and Backflow Preventers,plumb plumb valv check valv
46,Plumbing|Plumbing Valves|Flow Control Check Valves,Check Valves and Backflow Preventers,plumb plumb valv flow control check valv
47,Plumbing|Plumbing Valves|Foot Valves,Check Valves and Backflow Preventers,plumb plumb valv foot valv
48,Plumbing|Plumbing Valves|Sanitary Check Valves,Check Valves and Backflow Preventers,plumb plumb valv sanitari check valv
49,Plumbing|Plumbing Valves|Vacuum Breakers,Check Valves and Backflow Preventers,plumb plumb valv vacuum breaker
50,Welding|Gas Welding Equipment|Flashback Arrestors,Cutting Torches and Accessories,weld gas weld equip flashback arrestor
51,Welding|Gas Welding Equipment|Flint Lighters,Cutting Torches and Accessories,weld gas weld equip flint lighter
52,Welding|Gas Welding Equipment|Gas Welder Fittings,Cutting Torches and Accessories,weld gas weld equip gas welder fit
53,Welding|Gas Welding Equipment|Gas Welding Outfits,Cutting Torches and Accessories,weld gas weld equip gas weld outfit
54,Welding|Gas Welding Equipment|Quick Connect Cutting Torch Couplings,Cutting Torches and Accessories,weld gas weld equip quick connect cut torch coupl
55,Welding|Gas Welding Equipment|Welding Tip Mixers,Cutting Torches and Accessories,weld gas weld equip weld tip mixer
56,"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torch Attachments",Cutting Torches and Accessories,weld gas weld equip weld heat cut torch attach
57,"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torch Handles",Cutting Torches and Accessories,weld gas weld equip weld heat cut torch handl
58,"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torch Tips and Nozzles",Cutting Torches and Accessories,weld gas weld equip weld heat cut torch tip nozzl
59,"Welding|Gas Welding Equipment|Welding, Heating and Cutting Torches",Cutting Torches and Accessories,weld gas weld equip weld heat cut torch
60,Hardware|Door Hardware|Door Accessories|Door Cover Plates,Door Plates and Guards,hardwar door hardwar door accessori door cover plate
61,Hardware|Door Hardware|Door Accessories|Door Edge Guards,Door Plates and Guards,hardwar door hardwar door accessori door edg guard
62,Hardware|Door Hardware|Door Accessories|Door Finger Guards,Door Plates and Guards,hardwar door hardwar door accessori door finger guard
63,Hardware|Door Hardware|Door Accessories|Door Guards,Door Plates and Guards,hardwar door hardwar door accessori door guard
64,Hardware|Door Hardware|Door Accessories|Door Kick Plates,Door Plates and Guards,hardwar door hardwar door accessori door kick plate
65,Hardware|Door Hardware|Door Accessories|Door Knob Protectors,Door Plates and Guards,hardwar door hardwar door accessori door knob protector
66,Hardware|Door Hardware|Door Accessories|Door Knob Wall Guards,Door Plates and Guards,hardwar door hardwar door accessori door knob wall guard
67,Hardware|Door Hardware|Door Accessories|Door Latch Guards,Door Plates and Guards,hardwar door hardwar door accessori door latch guard
68,Hardware|Door Hardware|Door Accessories|Door Push and Pull Plates,Door Plates and Guards,hardwar door hardwar door accessori door push pull plate
69,Hardware|Door Hardware|Door Accessories|Door Strike Plates,Door Plates and Guards,hardwar door hardwar door accessori door strike plate
70,HVAC and Refrigeration|Heaters|Band Heaters,Electric Process Heaters and Accessories,hvac refriger heater band heater
71,HVAC and Refrigeration|Heaters|Cartridge Heaters,Electric Process Heaters and Accessories,hvac refriger heater cartridg heater
72,HVAC and Refrigeration|Heaters|Enclosure Heaters,Electric Process Heaters and Accessories,hvac refriger heater enclosur heater
73,HVAC and Refrigeration|Heaters|Finned Strip Heaters,Electric Process Heaters and Accessories,hvac refriger heater fin strip heater
74,HVAC and Refrigeration|Heaters|Finned Tubular Air Duct Heaters,Electric Process Heaters and Accessories,hvac refriger heater fin tubular air duct heater
75,HVAC and Refrigeration|Heaters|Flexible Strip Heaters,Electric Process Heaters and Accessories,hvac refriger heater flexibl strip heater
76,HVAC and Refrigeration|Heaters|Immersion Heaters,Electric Process Heaters and Accessories,hvac refriger heater immers heater
77,HVAC and Refrigeration|Heaters|Insulated Channel Strip Heaters,Electric Process Heaters and Accessories,hvac refriger heater insul channel strip heater
78,HVAC and Refrigeration|Heaters|Radiant Process Heaters,Electric Process Heaters and Accessories,hvac refriger heater radiant process heater
79,HVAC and Refrigeration|Heaters|Strip Heaters,Electric Process Heaters and Accessories,hvac refriger heater strip heater
80,Safety & Security|Clothing & Accessories|Drapes  Gowns & Sheets,Emergency and Exam Room Supplies,safeti secur cloth accessori drape gown sheet
81,Safety|Arm Slings,Emergency and Exam Room Supplies,safeti arm sling
82,Safety|First Aid Tweezers and Forceps,Emergency and Exam Room Supplies,safeti first aid tweezer forcep
83,Safety|Medical Basins,Emergency and Exam Room Supplies,safeti medic basin
84,Safety|Medical Equipment Bags and Cases,Emergency and Exam Room Supplies,safeti medic equip bag case
85,Safety|Medical Scissors and Shears,Emergency and Exam Room Supplies,safeti medic scissor shear
86,Safety|Medical Supplies Containers,Emergency and Exam Room Supplies,safeti medic suppli contain
87,Safety|Medical Swabs and Applicators,Emergency and Exam Room Supplies,safeti medic swab applic
88,Safety|Medical Thermometers,Emergency and Exam Room Supplies,safeti medic thermomet
89,Safety|Tongue Depressors,Emergency and Exam Room Supplies,safeti tongu depressor
90,Janitorial & Facility|Equipment|Floor Buffer  Polisher & Scrubber Acc.,"Floor Polishers, Burnishers, Scrubbers, and Accessories",janitori facil equip floor buffer polish scrubber acc
91,Janitorial & Facility|Equipment|Floor Buffers  Polishers & Scrubbers,"Floor Polishers, Burnishers, Scrubbers, and Accessories",janitori facil equip floor buffer polish scrubber
92,Cleaning and Janitorial|Floor Cleaning Machines|Concrete Preparation Tools,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin concret prepar tool
93,Cleaning and Janitorial|Floor Cleaning Machines|Floor Burnishers,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin floor burnish
94,Cleaning and Janitorial|Floor Cleaning Machines|Floor Machine Accessories,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin floor machin accessori
95,Cleaning and Janitorial|Floor Cleaning Machines|Floor Machine Pads,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin floor machin pad
96,Cleaning and Janitorial|Floor Cleaning Machines|Floor Polishers and Scrubbers,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin floor polish scrubber
97,Cleaning and Janitorial|Floor Cleaning Machines|Pad Drivers and Accessories,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin pad driver accessori
98,Cleaning and Janitorial|Floor Cleaning Machines|Rotary Brushes,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin rotari brush
99,Cleaning and Janitorial|Floor Cleaning Machines|Walk Behind and Rider Floor Scrubbers,"Floor Polishers, Burnishers, Scrubbers, and Accessories",clean janitori floor clean machin walk behind rider floor scrubber
100,Material Handling|Storage Containers|Attached Lid Containers,Four Sided Containers and Totes,materi handl storag contain attach lid contain
101,Material Handling|Storage Containers|Corrugated Containers and Lids,Four Sided Containers and Totes,materi handl storag contain corrug contain lid
102,Material Handling|Storage Containers|Divider Boxes and Accessories,Four Sided Containers and Totes,materi handl storag contain divid box accessori
103,Material Handling|Storage Containers|Nesting Containers and Lids,Four Sided Containers and Totes,materi handl storag contain nest contain lid
104,Material Handling|Storage Containers|Property Storage Containers,Four Sided Containers and Totes,materi handl storag contain properti storag contain
