,input_category,output_category,cleaned
0,HVAC & Refrigeration|HVAC Chemicals|Heat Sink Compounds,Air Conditioners and Accessories,hvac refriger hvac chemic heat sink compound
1,"HVAC and Refrigeration|Air Conditioning Chemicals, Tools and Accessories",Air Conditioners and Accessories,hvac refriger air condit chemic tool accessori
2,HVAC and Refrigeration|Ceiling Mounted Air Conditioners,Air Conditioners and Accessories,hvac refriger ceil mount air condition
3,HVAC and Refrigeration|Hazardous Location Air Conditioners,Air Conditioners and Accessories,hvac refriger hazard locat air condition
4,HVAC and Refrigeration|Vertical Packaged A/C & Heat Pumps,Air Conditioners and Accessories,hvac refriger vertic packag a c heat pump
5,Test Instruments|Air Flow Capture Hoods,Air Movement,test instrument air flow captur hood
6,Test Instruments|Air Velocity Indicators,Air Movement,test instrument air veloc indic
7,Test Instruments|Air Velocity Meters and Anemometers,Air Movement,test instrument air veloc meter anemomet
8,Test Instruments|Air Velocity Monitor Accessories,Air Movement,test instrument air veloc monitor accessori
9,Test Instruments|Air Velocity Transmitters,Air Movement,test instrument air veloc transmitt
10,Fleet and Vehicle Maintenance|Electronic Siren System Accessories,Automotive Alarms and Horns,fleet vehicl mainten electron siren system accessori
11,Fleet and Vehicle Maintenance|Electronic Siren Systems,Automotive Alarms and Horns,fleet vehicl mainten electron siren system
12,Fleet and Vehicle Maintenance|Horn Accessories,Automotive Alarms and Horns,fleet vehicl mainten horn accessori
13,Fleet and Vehicle Maintenance|Horns,Automotive Alarms and Horns,fleet vehicl mainten horn
14,Fleet and Vehicle Maintenance|Vehicle Back Up Alarms,Automotive Alarms and Horns,fleet vehicl mainten vehicl back up alarm
15,Tools|Saws and Accessories|Band Saw Accessories,Band Saws and Accessories,tool saw accessori band saw accessori
16,Tools|Saws and Accessories|Corded Band Saws,Band Saws and Accessories,tool saw accessori cord band saw
17,Tools|Saws and Accessories|Cordless Band Saws,Band Saws and Accessories,tool saw accessori cordless band saw
18,Tools|Saws and Accessories|Portable Band Saw Accessories,Band Saws and Accessories,tool saw accessori portabl band saw accessori
19,Tools|Saws and Accessories|Portable Band Saws,Band Saws and Accessories,tool saw accessori portabl band saw
20,Janitorial & Facility|Restroom Equipment|Restroom Dispenser Accessories,Bathroom Equipment,janitori facil restroom equip restroom dispens accessori
21,Cleaning and Janitorial|Cleaning Supplies|Toilet Plungers,Bathroom Equipment,clean janitori clean suppli toilet plunger
22,Cleaning and Janitorial|Cleaning Supplies|Toilet and Urinal Mats,Bathroom Equipment,clean janitori clean suppli toilet urin mat
23,Cleaning and Janitorial|Cleaning Supplies|Toilet and Urinal Rim Hangers,Bathroom Equipment,clean janitori clean suppli toilet urin rim hanger
24,Cleaning and Janitorial|Cleaning Supplies|Urinal Cakes and Screens,Bathroom Equipment,clean janitori clean suppli urin cake screen
25,Lighting|Lighting Fixtures|Bay Fixture Accessories,Bay Fixtures,light light fixtur bay fixtur accessori
26,Lighting|Lighting Fixtures|Bay Fixture Ballast Housings,Bay Fixtures,light light fixtur bay fixtur ballast hous
27,Lighting|Lighting Fixtures|Bay Fixture Reflectors,Bay Fixtures,light light fixtur bay fixtur reflector
28,Lighting|Lighting Fixtures|High Bay Fixtures,Bay Fixtures,light light fixtur high bay fixtur
29,Lighting|Lighting Fixtures|Low Bay Fixtures,Bay Fixtures,light light fixtur low bay fixtur
30,Material Handling|Shelving and Storage Racks|Bin Cabinets,Bin Organizers,materi handl shelv storag rack bin cabinet
31,Material Handling|Shelving and Storage Racks|Bin Rail Systems,Bin Organizers,materi handl shelv storag rack bin rail system
32,Material Handling|Shelving and Storage Racks|Cube Storage Units,Bin Organizers,materi handl shelv storag rack cube storag unit
33,Material Handling|Shelving and Storage Racks|Pigeonhole Bin Units,Bin Organizers,materi handl shelv storag rack pigeonhol bin unit
34,Material Handling|Shelving and Storage Racks|Sectional Stacking Bins,Bin Organizers,materi handl shelv storag rack section stack bin
35,Office Supplies|3-Ring Binder Accessories,Binders and Clipboards,offic suppli ring binder accessori
36,Office Supplies|3-Ring Binders,Binders and Clipboards,offic suppli ring binder
37,Office Supplies|Clipboard Accessories,Binders and Clipboards,offic suppli clipboard accessori
38,Office Supplies|Clipboards,Binders and Clipboards,offic suppli clipboard
39,Office Supplies|Index Tabs,Binders and Clipboards,offic suppli index tab
40,Machining|Drilling and Holemaking|Keyway Broach Bushings,Broaches,machin drill holemak keyway broach bush
41,Machining|Drilling and Holemaking|Keyway Broach Sets,Broaches,machin drill holemak keyway broach set
42,Machining|Drilling and Holemaking|Keyway Broach Shims,Broaches,machin drill holemak keyway broach shim
43,Machining|Drilling and Holemaking|Keyway Broaches,Broaches,machin drill holemak keyway broach
44,Machining|Drilling and Holemaking|Rotary Broaches,Broaches,machin drill holemak rotari broach
45,Office Supplies|Boards and Easels|Bulletin Board Display Rails,Bulletin Boards and Accessories,offic suppli board easel bulletin board display rail
46,Office Supplies|Boards and Easels|Bulletin Board and Easel Accessories,Bulletin Boards and Accessories,offic suppli board easel bulletin board easel accessori
47,Office Supplies|Boards and Easels|Bulletin Boards,Bulletin Boards and Accessories,offic suppli board easel bulletin board
48,Office Supplies|Boards and Easels|Combination Bulletin and Dry Erase Boards,Bulletin Boards and Accessories,offic suppli board easel combin bulletin dri eras board
49,Office Supplies|Boards and Easels|Enclosed Bulletin Boards,Bulletin Boards and Accessories,offic suppli board easel enclos bulletin board
50,Office Supplies|Calendar Accessories,Calendars and Planners,offic suppli calendar accessori
51,Office Supplies|Calendars,Calendars and Planners,offic suppli calendar
