cats,desc,img,link,price,sitename,specs,unit
|Pack Inc|Tape|Water Activate,"Intertape 3 X 450' Carton Master Reinforced Tape 10 Rl/ctn, 63 Ctn/sk",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/PI%20K71029,$13.38,bhid.com,{},RL
|Raw Materials|Shims|Shim Stock,PREBRA 16A22 100 L 6 W 0.022 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2016A22,$15.12,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Steel"", ""Length"": ""100 Inch"", ""Thickness"": ""0.022 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Power Generation/Transmission|Power Transmission Belts|Belt Accessorie,"3M 28726 Platen Pad Material With Attachment Arm, For Use With 3M File Belt Sander, PSA",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/3M%2005114128726,,bhid.com,"{""Brand Name"": ""3M"", ""Material"": ""PSA"", ""Suitable For Use With"": ""3M File Belt Sander"", ""Dimensions"": ""15-3/4 in L x 11-13/16 in W x 1/8 in THK""}",SH
|Pneumatics|Vacuum Technology|Vacuum Mounts/Accessorie,Milwaukee® 49-22-7100 Vacuum Pad Assembly,,https://www.bhid.com//itemdetail/MILELE%2049-22-7100,$162.09,bhid.com,"{""Brand Name"": ""Milwaukee"", ""Suitable For Use With"": ""4115, 4125, 4130 and 4136 Diamond Coring Rig with Detachable Vacuum Pads""}",EA
|Measuring & Inspecting|Testing & Measuring Accessories|Test Equipment Miscellaneous Accessorie,"3M 056-794 Sensor Array With 2 in Globe, 220 VAC, For Use With Wibget WB-300 Heat Stress Monitor",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/3M%2005113149893,$645.72,bhid.com,"{""Brand Name"": ""3M"", ""Suitable For Use With"": ""Wibget WB-300 Heat Stress Monitor"", ""Specifications"": ""220 VAC""}",CA
|Lubricants & Coolants|Oils|Machine Oi,"WD-40® 10138 Heavy Duty Multi-Purpose Lubricant Oil, 8 oz Plastic Bottle, Liquid, Clear Amber, Faint Citronella",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/WD40%2010138,$5.05,bhid.com,"{""Brand Name"": ""WD-40"", ""Series"": ""3-IN-ONE""}",EA
|Lighting|Task Lighting|Magnification & Inspection Light,"TPI 45-MAG-W Illuminated Florescent Magnifier, Fluorescent Lamp, Clamp-On Base, 22 W",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/TPI%2045MAGW,$198.00,bhid.com,"{""Brand Name"": ""TPI"", ""Arm Style"": ""Suspension Spring Balanced"", ""Base Type"": ""Clamp-On"", ""Lamp Type"": ""Fluorescent"", ""Average Life"": ""16000"", ""Shape"": ""T9"", ""Voltage Rating"": ""120"", ""Wattage"": ""22"", ""Color"": ""Deluxe Cool White""}",EA
|Lawn  Garden & Outdoor|Temporary Outdoor Structures & Access.|Duffle Bags & Backpack,"PIP® 9400-52599 HRC Kit Apparel Bag, Hi-Viz Orange, 600D Polyester/Molded Rubber Bottom, 12 in H x 10 in W x 24 in D",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/PIP%209400-52599,$61.43,bhid.com,"{""Brand Name"": ""PIP"", ""Accessory Type"": ""Storage"", ""Closure Type"": ""Zipper"", ""Material"": ""600 Danier Polyester/Molded Rubber Bottom"", ""Height"": ""12 in"", ""Length"": ""24 in"", ""Size"": ""OS"", ""Width"": ""10 in"", ""Color"": ""Orange"", ""Country Of Origin"": ""United States""}",EA
|Lab Supplies|Labware|Graduated Cylinder,"Loctite® 592484 Graduated Cylinder, 50 mL",,https://www.bhid.com//itemdetail/LOC%20592484,,bhid.com,"{""Brand Name"": ""Loctite"", ""Capacity"": ""50""}",EA
|Janitorial & Facility|Writing & Correction|Wet & Dry Erase Marker,"Brady® 58350 Dry Erase Marker, Black",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/BRADY%2058350,$2.47,bhid.com,"{""Brand Name"": ""Brady"", ""Ink Color"": ""Black""}",EA
|Welding & Soldering|Welding Tools & Support Component|Pipe Layout Marker,"Jackson Safety 14781 Small Contour Radius Marker, 20 in Radius Dia, Aluminum, Silver",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/JACKSAF%2014781,$39.94,bhid.com,"{""Brand Name"": ""Jackson Safety"", ""Type"": ""Small"", ""Material"": ""Aluminum"", ""Marking Diameter"": ""20 Inch Radius"", ""Color"": ""Silver""}",EA
|Welding & Soldering|Welding Tools & Support Component|Marking Stone,"C.H.Hanson® 10375 Soapstone, 5 in L x 3/16 in W, 1/2 in THK",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/CHHANS%2010375,,bhid.com,"{""Brand Name"": ""C.H.Hanson"", ""Style"": ""Flat"", ""Length"": ""5"", ""Thickness"": ""1/2 in"", ""Width"": ""3/16 in""}",EA
|Adhesives & Sealants|Thread & Gasket Sealants|Thread locker,"Loctite® 1329505 243™ Medium Strength Oil Tolerant Primerless Threadlocker, 250 mL Bottle, Liquid, Blue, 1.0900000000000001",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/LOC%201329505,$157.00,bhid.com,"{""Brand Name"": ""Loctite"", ""Series"": ""243"", ""Type"": ""Medium Strength Oil Tolerant Primerless"", ""Container Type"": ""Bottle"", ""Applicable Material"": ""Metal"", ""Application Time"": ""10"", ""Composition"": ""Polyglycol Dimethacrylate, Methacrylate Resin, Propane-1,2-Diol, Cumene Hydroperoxide, 1-Acetyl-2-Phenylhydrazine, Cumene"", ""Curing Time"": ""24 hr at 22 deg C (Full), 5 min at 22 deg C (Fix)"", ""Flash Point"": "">199.94"", ""Form"": ""Liquid"", ""Odor/Scent"": ""Mild"", ""Shear Strength"": ""1100"", ""Specific Gravity"": ""1.09"", ""Temperature Rating"": ""-65 to 300"", ""Tensile Strength"": ""230"", ""Viscosity Rating"": ""1300 to 3000"", ""VOC Content"": ""0.0109"", ""Container Size"": ""250"", ""Color"": ""Blue""}",EA
|Raw Materials|Shims|Shim Stock,PREBRA 22L15 50 L 6 W 0.015 Thk Roll Shim Stock,,https://www.bhid.com//itemdetail/PREBRA%2022L15,$39.01,bhid.com,"{""Brand Name"": ""Precision Brand"", ""Type"": ""Roll"", ""Material"": ""Stainless Steel"", ""Length"": ""50 Inch"", ""Thickness"": ""0.015 Inch"", ""Width"": ""6 Inch"", ""Country Of Origin"": ""USA""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon BL920 Ball Nozzle, 2 in FNPT Swivel x 2 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20BL920,$525.73,bhid.com,"{""Brand Name"": ""Dixon"", ""Material"": ""Aluminum"", ""Specifications"": ""2 in FNPT Swivel x 2 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon BL066NS Ball Nozzle, 1-1/4 in FNPT Swivel x 1-1/4 in Spout, Aluminum, Domestic",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20BL066NS,$387.02,bhid.com,"{""Brand Name"": ""Dixon"", ""Material"": ""Aluminum"", ""Specifications"": ""1-1/4 in FNPT Swivel x 1-1/4 in Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
|Pumps & Filtration|Pump Parts & Accessories|Pump Miscellaneous Accessorie,"Dixon 900W34B Agricultural Gravity Utility Nozzle, For Use With 12 V Truck Utility Pumps, 1 in FNPT x 3/4 in Bent Spout",https://www.bhid.com//images/Misc/enlarge_button.png,https://www.bhid.com//itemdetail/DIXVAL%20900W34B,$51.03,bhid.com,"{""Brand Name"": ""Dixon"", ""Type"": ""Agricultural"", ""Material"": ""Aluminum"", ""Suitable For Use With"": ""12 V Truck Utility Pumps"", ""Specifications"": ""1 in FNPT x 3/4 in Bent Spout"", ""Warranty"": ""Limited"", ""Domestic/Import"": ""Domestic""}",EA
